Reporting Period	Peer Group Description	Peer Group	UBPSE015	UBPSE008	UBPSE029	UBPS7414	UBPSE023	UBPSD486	UBPSE012	UBPSE018	UBPSE024	UBPSE013	UBPSE019	UBPSE541	UBPSE027	UBPS7408	UBPSE010	UBPSK447	UBPSE007	UBPSE016	UBPSE021	UBPSE542	UBPSE003	UBPSE006	UBPSE022	UBPSE028	UBPSE011	UBPS7316	UBPSE002	UBPSE014	UBPSJ248	UBPSE005	UBPSE020	UBPSE017	UBPS7402	UBPSE004	UBPSE025	UBPSE009	UBPSE001	UBPSE026	
3/31/2016 11:59:59 PM	All Bankers Banks in Ohio	OHBKR	26.1042	0.0000	6.8331	0.0000	1.3840	10.5900	0.3125	2.3044	51.5296	0.3125	0.0000	0.0000	1.1541	29.0523	0.3125	-16.6009	0.4575	2.4100	0.0000	0.0000	2.2240	0.0000	1.3840	11.1992	0.3125	-1.9327	0.1020	96.5115	0.0000	2.4737	0.0000	0.1057	0.0000	0.7072	2.9872	0.4575	2.3259	3.0974	
3/31/2016 11:59:59 PM	All Bankers Banks in Oklahoma	OKBKR	33.9643	0.0000	-17.0480	0.2635	1.4682	10.6300	0.0101	2.9392	62.3114	0.0101	0.0096	0.0035	25.1931	4.2063	0.0101	-1.5859	0.0700	3.3198	156.6875	0.2600	2.6927	0.0000	1.5120	-8.1939	0.0043	3.4727	0.3487	91.6135	0.0000	8.0842	11.5000	0.3807	0.0000	5.4615	0.0913	0.0700	3.0414	1.4471	
3/31/2016 11:59:59 PM	All Bankers Banks in Pennsylvania	PABKR	37.1312	0.0000	-10.2031	0.9642	3.8313	12.9500	0.7804	2.0794	39.4182	0.7804	-0.0429	0.0933	9.6793	4.4269	0.9089	-30.4435	1.3081	2.5147	0.0000	0.8709	1.9628	0.0000	3.8313	-21.2513	0.9254	-5.4508	0.4109	94.3929	0.1285	3.0243	0.0000	0.4353	0.0000	2.3696	6.0248	1.3081	2.3737	4.1125	
3/31/2016 11:59:59 PM	All Bankers Banks in Texas	TXBKR	68.7496	0.0000	40.0074	0.0340	1.6128	8.7400	0.6939	1.6074	34.3420	0.6939	0.2424	0.0269	8.5786	3.7180	0.6939	-37.3589	1.0800	2.2470	6.7630	0.0071	1.5350	0.0840	1.6417	33.5171	0.6957	17.0669	0.6108	95.4950	0.0000	4.1395	12.6631	0.6396	63.7078	3.7684	2.8382	1.0800	2.1458	0.0750	
3/31/2016 11:59:59 PM	All Bankers Banks in Virginia	VABKR	39.1057	0.0000	23.9256	0.5358	2.5491	12.4500	0.2094	2.6222	54.9428	0.2094	-0.0543	0.0000	2.6282	6.3675	0.2094	4.2607	0.2009	2.9938	0.0000	0.5358	2.4763	0.0000	2.5491	14.7045	0.2406	2.6914	0.3509	94.4354	0.0000	4.3555	0.0000	0.3716	0.0000	2.0801	1.6921	0.2009	2.8272	4.6228	
3/31/2016 11:59:59 PM	All Bankers Banks in Wisconsin	WIBKR	38.3692	0.0000	-4.7469	4.2278	6.0441	13.3600	0.8847	1.2462	20.9260	0.8847	-0.0168	0.0000	49.2991	2.3608	0.8847	-118.0444	1.2033	1.4054	0.0000	4.2278	1.1744	0.0297	6.1612	4.5141	0.9177	20.6221	0.1501	94.2389	0.0000	4.6149	0.0000	0.1592	0.0000	4.6735	6.6743	1.2033	1.3245	6.2976	
3/31/2016 11:59:59 PM	All banks in nation 	NATIONAL	72.6960	0.0163	17.8290	0.9247	1.3492	10.9250	0.7968	3.6790	63.0077	0.9084	0.0604	0.0777	7.4211	5.2934	0.9085	0.3309	1.1690	4.1138	30.2215	0.7723	3.4332	0.0769	1.3587	10.8499	0.9529	3.9476	0.3905	93.6697	0.0004	2.8834	46.3196	0.4182	27.1879	0.6210	4.4981	1.2021	3.8399	8.9069	
3/31/2016 11:59:59 PM	All credit card specialty banks	CRC	80.2870	0.0000	27.1754	1.4938	3.9593	14.6535	3.1794	12.0624	79.0912	3.1794	3.6570	1.1606	14.7617	11.7094	3.1794	46.8328	5.0364	13.1611	1.0753	0.3331	11.6125	3.2625	4.0091	219726.3084	3.4028	16.0794	1.0513	96.3798	0.0000	8.0302	3.3198	1.0987	51.3672	4.7167	8.6454	5.0364	12.6639	6.1439	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in Delaware	DECRC	81.3132	0.0000	2.0163	1.3323	3.5334	12.1375	2.5926	12.2719	76.2098	2.5926	3.4764	1.2624	7.5646	11.2431	2.5926	56.0298	4.1204	13.3975	1.0735	0.0698	11.6317	2.7455	3.5982	17.2837	2.5233	10.9035	1.0730	94.2624	0.0000	5.9765	2.5370	1.1256	50.9574	1.2109	4.5475	4.1204	12.7048	6.8704	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in Florida	FLCRC	70.2595	0.0000	-9.4505	0.9399	2.6164	25.7100	0.8496	8.9655	85.4304	0.8496	2.1433	0.8301	1.9926	0.7884	0.8496	12.2213	1.3832	9.7676	1.1988	0.1098	8.6520	2.2443	2.6164	61.3274	1.1702	0.7891	0.7741	96.5041	0.0000	12.6002	1.8857	0.8021	88.9488	7.5757	0.3558	1.3832	9.4261	0.3370	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in Nebraska	NECRC	86.0911	0.0000	236.4091	0.4116	1.5300	10.3400	3.0242	9.6713	95.7682	3.0242	1.9685	0.2618	15.0104	5.7608	3.0242	90.7877	4.7404	11.2746	0.7794	0.1498	9.3343	1.7769	1.5300	-71.0517	2.9341	11.0381	1.5475	96.5159	0.0000	10.2607	3.4906	1.6033	102.9919	7.4436	-0.8745	4.7404	10.8818	6.2523	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in Nevada	NVCRC	86.7863	0.0000	-94.5318	1.0992	3.6145	12.5100	3.3968	10.0324	78.3971	3.3968	2.8615	1.0992	12.1243	-2.8496	3.3968	-16.8242	5.2722	10.0411	1.2542	0.0000	10.2524	2.6708	3.6145	3076042.5532	3.6624	33.6166	0.0089	102.1929	0.0000	2.3570	3.3025	0.0087	0.0000	0.0476	26.8067	5.2722	10.2613	0.8839	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in South Dakota	SDCRC	77.6141	0.0000	-38.1606	2.8346	4.5157	18.9400	1.1652	17.7475	73.6939	1.1652	3.6837	1.8351	-4.4003	6.3112	1.1652	57.7712	1.9989	20.0218	1.1952	0.9995	16.1879	2.6499	4.5157	-10.0839	0.9677	-5.8953	2.0744	91.2119	0.0000	14.1401	1.6326	2.2743	0.0000	2.6011	6.1981	1.9989	18.2623	12.4461	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in Utah	UTCRC	78.9701	0.0000	46.8961	1.7419	4.9293	15.6740	4.5907	12.2998	78.9605	4.5907	4.4548	1.1293	27.0867	18.1053	4.5907	42.6582	7.3433	13.3027	1.0655	0.6126	12.0847	4.2898	5.0167	23.9443	5.1032	25.6950	0.9823	98.3010	0.0000	8.5425	4.7378	1.0028	47.2758	8.0909	13.4227	7.3433	13.0671	6.9212	
3/31/2016 11:59:59 PM	All Credit Card Specialty Banks in Virginia	VACRC	83.1648	0.0001	43.6441	1.5889	4.3743	10.7300	2.7516	11.8709	74.3456	2.7516	4.3616	1.5269	16.2457	18.4219	2.7517	74.2935	3.9172	13.0477	1.0054	0.0620	11.1987	3.9029	4.3743	-43.2837	3.2962	13.4744	1.1101	94.3377	0.0001	6.4472	2.3285	1.1768	86.9923	3.0686	3.2467	3.9173	12.3089	4.0084	
3/31/2016 11:59:59 PM	All insured commercial banks	COM	72.0421	0.0166	17.0331	0.8949	1.3875	10.6256	0.8309	3.7519	62.7277	0.9544	0.0612	0.0811	7.6613	5.4853	0.9548	0.1369	1.2241	4.1666	29.8471	0.7411	3.5004	0.0803	1.3962	10.6085	1.0039	3.9812	0.3729	93.6550	0.0003	2.8423	47.0475	0.3993	31.1513	0.6066	4.6651	1.2565	3.8880	8.8797	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Alabama	ALCOM	71.4854	0.0464	14.5854	1.3328	1.4263	11.7008	0.7910	3.8520	54.6367	0.8569	0.0908	0.1058	5.1596	3.8787	0.8576	1.9466	1.1289	4.3439	21.7088	1.0711	3.5142	0.0947	1.4294	27.1585	0.9305	3.2513	0.4388	91.6833	0.0006	2.9630	38.9760	0.4784	24.3611	0.6660	4.5396	1.1926	3.9634	11.7224	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Alaska	AKCOM	82.6498	0.0474	3.6543	0.8492	1.4251	10.9750	0.9063	4.0076	52.0195	0.9436	0.1065	0.0042	6.2274	3.9202	0.9524	2.2424	1.3617	4.1549	21.6076	0.8450	3.7750	0.0638	1.4542	150.0157	0.9499	5.3098	0.1380	94.2906	0.0087	3.6167	49.8063	0.1474	60.9804	1.2672	3.5526	1.4091	3.9130	8.1608	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Arizona	AZCOM	67.4270	0.0008	64.8473	1.0519	1.4995	10.7711	0.5776	4.1253	65.6534	0.5969	0.0771	0.0074	9.4907	23.7962	0.5969	-7.2368	0.9477	4.4367	15.9372	1.0445	3.8418	0.0606	1.5921	76.1593	0.5996	11.6656	0.2914	93.0443	0.0000	6.6953	18.5336	0.3114	26.6473	3.8618	2.8238	0.9486	4.1332	18.8592	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Arkansas	ARCOM	74.1794	0.0169	6.8569	1.3399	1.5819	11.2533	0.9008	3.9150	60.3536	1.0373	0.1121	0.0622	7.7691	4.1860	1.0373	3.8058	1.3468	4.3767	24.4300	1.2334	3.6155	0.0912	1.6135	23.3390	1.0427	4.1796	0.4248	92.4996	0.0000	2.9496	34.0766	0.4578	28.5509	0.7375	4.8179	1.3702	4.0470	12.5723	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in California	CACOM	68.5653	0.0082	30.6094	0.5227	1.5700	11.3838	0.7915	3.8051	68.2752	0.8184	-0.0061	0.0080	15.2883	9.8836	0.8185	-0.0512	1.2585	4.1485	28.1605	0.4829	3.5974	0.0710	1.5969	14.1611	0.9021	12.9118	0.3177	94.9534	-0.0002	2.8569	48.9794	0.3360	12.9258	0.4978	4.9742	1.2802	3.9208	5.4894	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Colorado	COCOM	70.2995	0.0246	9.3814	0.7835	1.4686	10.1926	0.8701	3.9355	61.9113	1.0261	0.0290	0.0646	11.8096	5.9320	1.0583	-2.9994	1.2731	4.2614	50.8257	0.6326	3.6748	0.0869	1.4787	18.8733	1.1085	5.3768	0.2853	93.5175	0.0000	3.2827	67.6582	0.3039	25.8076	0.8518	5.3483	1.3263	3.9791	8.8073	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Connecticut	CTCOM	77.1330	0.0286	11.3050	1.2196	1.0421	9.6100	0.4494	3.1320	71.2357	0.4570	0.0864	0.1018	9.0323	10.9452	0.4570	10.0598	0.6563	3.6763	126.7075	1.1178	2.9821	0.1078	1.0758	47.2633	0.4954	9.6529	0.5179	95.1610	0.0000	2.7670	138.5026	0.5443	20.2099	0.5489	3.0632	0.6850	3.5000	12.2043	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Delaware	DECOM	49.3872	0.0221	20.6299	1.7020	1.3295	30.3333	0.8750	2.8533	54.0537	0.9012	0.2767	0.2138	0.7283	-0.1179	0.9058	-13.6792	1.3121	3.0992	11.8090	1.4881	2.4509	0.0285	1.3444	53.0113	0.8424	0.2838	0.2297	85.8811	0.0031	3.4020	-93.3857	0.2459	27.2735	2.2918	3.6549	1.3342	2.6806	10.9362	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in District of Columbia	DCCOM	66.4986	0.0357	24.6330	3.1118	1.8613	10.9200	0.7712	3.6392	65.4732	0.7712	-0.6644	0.5716	2.8844	9.7292	0.8347	21.5111	1.2739	3.9656	4.3925	2.5401	3.5062	-0.3686	1.8617	8.0369	0.7878	5.2865	0.3153	96.4324	0.0635	3.2873	3.6835	0.3264	4.7426	0.6864	7.3328	1.3096	3.8216	14.1321	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Florida	FLCOM	72.1792	0.0164	14.1225	0.9634	1.4743	10.2427	0.5746	3.5858	64.2405	0.6354	0.0322	0.0140	10.5234	7.4906	0.6354	1.3101	0.8454	4.0342	23.2365	0.9158	3.3097	0.0471	1.4844	16.2052	0.6883	8.0735	0.3956	93.1027	0.0000	3.0028	30.9171	0.4285	9.1020	0.5492	4.1487	0.8704	3.7214	15.2117	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Georgia	GACOM	71.3025	0.0257	8.1220	1.4262	1.5978	10.5214	0.8338	4.0182	60.7898	0.9632	0.1269	0.0558	7.1015	6.6617	0.9633	-5.1934	1.1845	4.4711	20.6387	1.3216	3.6643	0.0739	1.6067	19.1320	0.9579	5.0399	0.3922	91.7300	0.0000	3.2079	25.0713	0.4314	25.5329	0.7354	5.1207	1.2281	4.0756	26.0901	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Guam	GUCOM	61.6267	0.0011	-19.7529	2.9403	1.8144	10.5850	0.2956	3.6456	51.3690	0.2956	0.1013	0.1671	2.6445	6.4761	0.2956	-55.3575	0.5163	3.7425	2.9947	2.7732	3.4758	0.1436	1.8333	15.5311	0.3366	5.8344	0.0923	95.3867	0.0000	4.4241	4.4699	0.0969	15.2677	1.6083	3.0773	0.5174	3.5682	13.5017	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Hawaii	HICOM	81.0059	0.1219	35.7612	0.3822	1.3749	9.9585	0.7650	3.3131	62.2639	0.7650	-0.0618	0.0855	10.2301	-0.5400	0.7649	7.7032	1.1148	3.5763	43.3920	0.2966	3.0750	-0.0353	1.3794	35.5445	0.7656	4.6036	0.2429	92.9505	0.0000	2.6028	317.7165	0.2631	128.7111	0.6073	-3.9091	1.2368	3.3179	5.6179	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Idaho	IDCOM	67.7237	0.0121	65.4689	0.7773	1.6998	11.8600	0.6962	3.9429	62.6564	0.7338	-0.0224	0.0020	8.9533	6.6639	0.7338	-10.3913	0.9451	4.1789	52.7719	0.7752	3.7214	0.0703	1.7138	12.8262	0.8141	5.3470	0.2216	94.1458	0.0000	3.7144	108.2867	0.2359	38.0666	1.0085	1.3763	0.9572	3.9430	9.9618	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Illinois	ILCOM	73.7776	0.0261	11.1336	1.0093	1.2971	10.5905	0.7600	3.4867	60.2659	0.8715	0.0864	0.1216	5.6689	4.3123	0.8718	-1.5468	1.1217	3.8877	23.3789	0.8081	3.2488	0.0778	1.3027	9.3332	0.8915	2.1776	0.3600	93.4241	0.0002	2.6374	35.7789	0.3860	36.5611	0.5381	3.6211	1.1622	3.6223	9.9062	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Indiana	INCOM	73.9151	0.0139	10.2498	0.9882	1.4510	10.5983	0.8557	3.6908	64.7556	0.9191	0.0847	0.1036	6.5090	5.4291	0.9191	3.6225	1.2809	4.0994	25.0362	0.7820	3.4672	0.0855	1.4535	15.6232	0.9510	4.6336	0.3776	94.2746	0.0000	2.7973	33.6010	0.4014	24.7972	0.6734	5.4139	1.3142	3.8486	9.2885	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Iowa	IACOM	74.2160	0.0133	16.5471	0.5983	1.2880	10.8401	0.9747	3.6008	62.7979	1.1499	0.0454	0.1519	6.6861	5.2204	1.1499	2.0570	1.4619	4.0908	39.4275	0.3760	3.3923	0.0670	1.2896	2.1643	1.2095	2.3414	0.4453	94.5061	0.0000	2.3503	65.3667	0.4717	35.0686	0.4807	5.4287	1.4909	3.8544	4.1115	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Kansas	KSCOM	71.6205	0.0197	24.6041	0.6697	1.5472	10.7593	0.8583	3.6856	58.4745	1.0090	0.0132	0.1303	7.6129	4.5524	1.0089	0.2643	1.2585	4.0916	36.8623	0.4348	3.4755	0.0621	1.5537	7.6579	1.0748	1.3159	0.3672	94.5733	0.0000	2.7190	59.5817	0.3889	39.8406	0.5360	4.5325	1.2923	3.8595	5.4389	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Kentucky	KYCOM	71.0404	0.0141	13.0949	1.2546	1.3639	11.3670	0.8167	3.8344	61.2944	0.9390	0.0970	0.1159	4.1985	3.5554	0.9359	3.1144	1.1759	4.2831	24.1358	1.0700	3.5918	0.0710	1.3672	16.3237	0.9406	2.5936	0.4185	93.7539	0.0000	3.0730	33.3426	0.4484	40.7228	0.6894	3.8859	1.1979	4.0117	10.9921	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Louisiana	LACOM	69.0528	0.0076	9.6892	1.4190	1.2833	10.8782	0.8675	4.0854	61.9281	1.0577	0.1279	0.2340	7.0749	4.9791	1.0577	-0.2070	1.2626	4.4735	26.0789	1.0928	3.8253	0.1397	1.2868	1.4045	1.1556	2.3747	0.3497	93.7647	0.0000	3.0143	50.7519	0.3736	30.5910	0.6626	5.7697	1.2792	4.1837	8.8713	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Maine	MECOM	77.4885	0.0730	19.3774	1.1754	0.8778	12.1685	0.9047	3.7302	72.5173	0.9047	0.0432	0.1104	13.1136	8.1043	0.9047	21.2306	1.2951	4.2806	26.2753	1.0650	3.4973	0.0777	0.8792	41.0492	0.9499	9.9685	0.5155	93.6651	0.0000	2.7316	50.4317	0.5504	69.8644	0.6072	3.7906	1.3682	4.0128	9.4007	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Maryland	MDCOM	72.6970	0.0045	23.3745	1.2626	1.1299	9.9671	0.6010	3.6877	73.2364	0.6132	0.1642	0.0304	13.3789	8.7185	0.6132	7.3559	0.9244	4.1411	12.3640	1.2213	3.4690	0.1317	1.1386	27.4680	0.6364	11.3987	0.4293	94.2909	0.0000	3.1566	15.1676	0.4564	28.2147	0.6681	2.9964	0.9320	3.8838	18.6403	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Massachusetts	MACOM	79.0302	0.0199	6.7356	0.5931	0.9110	9.9076	0.5753	3.1956	72.3734	0.5753	0.0131	0.0146	9.5136	5.7237	0.5775	11.5796	0.8754	3.7185	105.2335	0.5572	3.0299	0.0514	0.9173	67.0760	0.6253	7.1653	0.4772	94.6762	0.0019	2.7332	136.6890	0.5037	14.5158	0.5648	4.0689	0.9054	3.5274	6.0039	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Michigan	MICOM	72.2530	0.0135	22.5261	1.0447	1.3033	10.3958	0.7289	3.7652	62.7007	0.7676	0.0667	0.0641	7.2087	5.0079	0.7773	-2.4997	1.0339	4.1008	22.8239	0.9333	3.4927	0.0647	1.3209	25.5596	0.7993	5.3402	0.3093	92.9212	0.0074	3.3266	28.7061	0.3335	35.7457	0.8270	3.3831	1.0558	3.8046	17.7738	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Micronesia	FMCOM	23.9081	0.0000	-17.8546	2.5182	2.5980	14.8700	1.4676	4.6198	40.0369	1.4676	0.9076	0.0000	29.8594	4.5041	1.4676	-51.0802	1.4906	4.7587	2.8633	2.5182	4.4027	0.1727	2.5980	10.1785	1.2719	10.9377	0.1324	95.2995	0.0000	3.2919	4.5156	0.1389	0.0000	0.5525	9.9215	1.4906	4.5350	11.8351	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Minnesota	MNCOM	70.8685	0.0095	13.9852	0.8792	1.3866	10.3895	0.7947	3.8100	64.2474	1.0373	0.0159	0.0901	6.5191	4.9739	1.0373	-5.9067	1.2093	4.1918	60.7855	0.7310	3.5650	0.0678	1.3895	10.5094	1.0921	3.1104	0.3448	93.9507	0.0000	2.8027	83.5189	0.3674	63.9849	0.4894	1.6887	1.2294	3.9223	10.9147	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Mississippi	MSCOM	73.1781	0.0101	1.8665	1.3338	1.3676	10.5637	0.8119	3.9176	57.5922	0.9256	0.1239	0.1282	6.8272	3.8474	0.9256	-0.0781	1.2023	4.3071	21.1032	1.0788	3.5436	0.0911	1.3707	1.3556	0.9883	3.7115	0.3515	90.8608	0.0000	3.0818	35.6161	0.3867	34.9431	0.8483	5.0143	1.2138	3.9004	11.7855	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Missouri	MOCOM	74.7340	0.0262	18.3138	0.8004	1.4130	10.3347	0.8483	3.7243	65.4390	1.0064	0.0719	0.0636	7.3456	4.5847	1.0056	-0.6300	1.2433	4.1499	41.0799	0.6882	3.4798	0.0809	1.4178	7.8890	1.0372	3.3045	0.3825	93.6553	0.0000	2.8232	66.1304	0.4099	40.7227	0.6274	4.1180	1.2887	3.8770	9.6314	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Montana	MTCOM	69.0254	0.0075	21.5318	1.3764	1.6198	10.5752	0.8932	4.0624	60.7760	1.0773	-0.0212	0.2395	11.3092	5.7032	1.0773	-5.8388	1.3556	4.3588	45.7149	1.0512	3.7570	0.0513	1.6262	-5.8218	1.1525	4.5462	0.2673	92.9680	0.0000	2.9941	56.9569	0.2872	48.1085	0.6419	3.9470	1.3692	4.0311	10.7838	
3/31/2016 11:59:59 PM	All Insured Commercial Banks in Nebraska	NECOM	72.9162	0.0105	37.8297	0.3939	1.3984	10.8783	0.9084	3.7313	67.1286	1.0552	0.0022	0.0943	8.6288	6.6190	1.0549	1.4711	1.3194	4.2232	102.2640	0.2425	3.5121	0.0752	1.4009	6.6161	1.1388	3.0568	0.4537	94.3205	0.0000	2.5422	139.8301	0.4827	35.4704	0.4381	4.8358	1.3422	3.9723	3.2693	
